event_number	ed_code	ed_english_name	ed_french_name	province_name_english	province_name_french	ed_rejected_ballot_count	ed_valid_vote_count	ed_electors_on_list_count	total_poll_count	advance_poll_count	mobile_poll_count	svr_group1_ballot_count	svr_group2_ballot_count	svr_total_ballot_count	population_cnt	census_year	judicial_recount_indictator	majority_count	majority_percentage	voter_participation_percentage	elected_last_name	elected_middle_name	elected_first_name	elected_party_english_name	elected_party_french_name	event_english_name	event_french_name	returning_officer	poll_number	polling_station_name	poll_type	urban_rural_indicator	void_indicator	no_poll_indicator	split_indicator	merge_indicator	merged_with_poll_number	advance_poll_indicator	mobile_poll_indicator	svr_poll_indicator	poll_rejected_ballot_count	poll_valid_vote_count	poll_total_ballot_count	poll_electors_on_list_count	cand_1_last_name	cand_1_middle_name	cand_1_first_name	cand_1_party_english_name	cand_1_party_french_name	cand_1_gender_code	cand_1_elected_indicator	cand_1_incumbent_indicator	cand_1_poll_vote	cand_2_last_name	cand_2_middle_name	cand_2_first_name	cand_2_party_english_name	cand_2_party_french_name	cand_2_gender_code	cand_2_elected_indicator	cand_2_incumbent_indicator	cand_2_poll_vote	cand_3_last_name	cand_3_middle_name	cand_3_first_name	cand_3_party_english_name	cand_3_party_french_name	cand_3_gender_code	cand_3_elected_indicator	cand_3_incumbent_indicator	cand_3_poll_vote	cand_4_last_name	cand_4_middle_name	cand_4_first_name	cand_4_party_english_name	cand_4_party_french_name	cand_4_gender_code	cand_4_elected_indicator	cand_4_incumbent_indicator	cand_4_poll_vote	cand_5_last_name	cand_5_middle_name	cand_5_first_name	cand_5_party_english_name	cand_5_party_french_name	cand_5_gender_code	cand_5_elected_indicator	cand_5_incumbent_indicator	cand_5_poll_vote	cand_6_last_name	cand_6_middle_name	cand_6_first_name	cand_6_party_english_name	cand_6_party_french_name	cand_6_gender_code	cand_6_elected_indicator	cand_6_incumbent_indicator	cand_6_poll_vote	cand_7_last_name	cand_7_middle_name	cand_7_first_name	cand_7_party_english_name	cand_7_party_french_name	cand_7_gender_code	cand_7_elected_indicator	cand_7_incumbent_indicator	cand_7_poll_vote	cand_8_last_name	cand_8_middle_name	cand_8_first_name	cand_8_party_english_name	cand_8_party_french_name	cand_8_gender_code	cand_8_elected_indicator	cand_8_incumbent_indicator	cand_8_poll_vote	cand_9_last_name	cand_9_middle_name	cand_9_first_name	cand_9_party_english_name	cand_9_party_french_name	cand_9_gender_code	cand_9_elected_indicator	cand_9_incumbent_indicator	cand_9_poll_vote	cand_10_last_name	cand_10_middle_name	cand_10_first_name	cand_10_party_english_name	cand_10_party_french_name	cand_10_gender_code	cand_10_elected_indicator	cand_10_incumbent_indicator	cand_10_poll_vote	cand_11_last_name	cand_11_middle_name	cand_11_first_name	cand_11_party_english_name	cand_11_party_french_name	cand_11_gender_code	cand_11_elected_indicator	cand_11_incumbent_indicator	cand_11_poll_vote	cand_12_last_name	cand_12_middle_name	cand_12_first_name	cand_12_party_english_name	cand_12_party_french_name	cand_12_gender_code	cand_12_elected_indicator	cand_12_incumbent_indicator	cand_12_poll_vote	cand_13_last_name	cand_13_middle_name	cand_13_first_name	cand_13_party_english_name	cand_13_party_french_name	cand_13_gender_code	cand_13_elected_indicator	cand_13_incumbent_indicator	cand_13_poll_vote
3600	ED10-001	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	212	36674	68065	279	16	5	194	113	307	94842	1991	N	570	1.6	54.2	Mifflin	J.	Fred	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Walter Brown                         	1	Wesleyville	2A	R	N	N	N	N		Y	N	N	0	24	24	0	Dawe		Randy	Progressive Conservative	Progressiste-Conservateur	M	N	N	3	March		Fraser	N.D.P.	N.P.D.	M	N	N	4	Mifflin	J.	Fred	Liberal	Libéral	M	Y	Y	17	Randell	Christopher	L.	No Affiliation	Aucune appartenance	M	N	N	0									0									0									0									0									0									0									0									0									0
3600	ED10-001	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	212	36674	68065	279	16	5	194	113	307	94842	1991	N	570	1.6	54.2	Mifflin	J.	Fred	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Walter Brown                         	1	Lumsden	1O	R	N	N	N	N		N	N	N	0	117	117	198	Dawe		Randy	Progressive Conservative	Progressiste-Conservateur	M	N	N	19	March		Fraser	N.D.P.	N.P.D.	M	N	N	27	Mifflin	J.	Fred	Liberal	Libéral	M	Y	Y	69	Randell	Christopher	L.	No Affiliation	Aucune appartenance	M	N	N	2									0									0									0									0									0									0									0									0									0
3600	ED10-001	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	212	36674	68065	279	16	5	194	113	307	94842	1991	N	570	1.6	54.2	Mifflin	J.	Fred	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Walter Brown                         	10	Old Perlican	2A	R	N	N	N	N		Y	N	N	1	21	22	0	Dawe		Randy	Progressive Conservative	Progressiste-Conservateur	M	N	N	12	March		Fraser	N.D.P.	N.P.D.	M	N	N	2	Mifflin	J.	Fred	Liberal	Libéral	M	Y	Y	6	Randell	Christopher	L.	No Affiliation	Aucune appartenance	M	N	N	1									0									0									0									0									0									0									0									0									0
3600	ED10-001	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	212	36674	68065	279	16	5	194	113	307	94842	1991	N	570	1.6	54.2	Mifflin	J.	Fred	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Walter Brown                         	10	Badger's Quay-Valleyfield-Pool's Island	1O	R	N	N	N	N		N	N	N	0	183	183	398	Dawe		Randy	Progressive Conservative	Progressiste-Conservateur	M	N	N	44	March		Fraser	N.D.P.	N.P.D.	M	N	N	29	Mifflin	J.	Fred	Liberal	Libéral	M	Y	Y	102	Randell	Christopher	L.	No Affiliation	Aucune appartenance	M	N	N	8									0									0									0									0									0									0									0									0									0
3600	ED10-001	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	212	36674	68065	279	16	5	194	113	307	94842	1991	N	570	1.6	54.2	Mifflin	J.	Fred	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Walter Brown                         	100	Melrose	1O	R	N	N	N	N		N	N	N	1	179	180	247	Dawe		Randy	Progressive Conservative	Progressiste-Conservateur	M	N	N	80	March		Fraser	N.D.P.	N.P.D.	M	N	N	78	Mifflin	J.	Fred	Liberal	Libéral	M	Y	Y	14	Randell	Christopher	L.	No Affiliation	Aucune appartenance	M	N	N	7									0									0									0									0									0									0									0									0									0
3600	ED10-001	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	212	36674	68065	279	16	5	194	113	307	94842	1991	N	570	1.6	54.2	Mifflin	J.	Fred	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Walter Brown                         	101	Trinity-Lockston	1O	R	N	N	N	N		N	N	N	0	87	87	155	Dawe		Randy	Progressive Conservative	Progressiste-Conservateur	M	N	N	26	March		Fraser	N.D.P.	N.P.D.	M	N	N	25	Mifflin	J.	Fred	Liberal	Libéral	M	Y	Y	30	Randell	Christopher	L.	No Affiliation	Aucune appartenance	M	N	N	6									0									0									0									0									0									0									0									0									0
3600	ED10-001	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	212	36674	68065	279	16	5	194	113	307	94842	1991	N	570	1.6	54.2	Mifflin	J.	Fred	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Walter Brown                         	102	Trinity East	1O	R	N	N	N	N		N	N	N	1	58	59	112	Dawe		Randy	Progressive Conservative	Progressiste-Conservateur	M	N	N	21	March		Fraser	N.D.P.	N.P.D.	M	N	N	22	Mifflin	J.	Fred	Liberal	Libéral	M	Y	Y	15	Randell	Christopher	L.	No Affiliation	Aucune appartenance	M	N	N	0									0									0									0									0									0									0									0									0									0
3600	ED10-001	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	212	36674	68065	279	16	5	194	113	307	94842	1991	N	570	1.6	54.2	Mifflin	J.	Fred	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Walter Brown                         	103	Port Rexton	1O	R	N	N	N	N		N	N	N	1	174	175	303	Dawe		Randy	Progressive Conservative	Progressiste-Conservateur	M	N	N	40	March		Fraser	N.D.P.	N.P.D.	M	N	N	81	Mifflin	J.	Fred	Liberal	Libéral	M	Y	Y	48	Randell	Christopher	L.	No Affiliation	Aucune appartenance	M	N	N	5									0									0									0									0									0									0									0									0									0
3600	ED10-001	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	212	36674	68065	279	16	5	194	113	307	94842	1991	N	570	1.6	54.2	Mifflin	J.	Fred	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Walter Brown                         	104	Champney's West-Champney's Arm	1O	R	N	N	N	N		N	N	N	0	68	68	118	Dawe		Randy	Progressive Conservative	Progressiste-Conservateur	M	N	N	13	March		Fraser	N.D.P.	N.P.D.	M	N	N	40	Mifflin	J.	Fred	Liberal	Libéral	M	Y	Y	12	Randell	Christopher	L.	No Affiliation	Aucune appartenance	M	N	N	3									0									0									0									0									0									0									0									0									0
3600	ED10-001	Bonavista--Trinity--Conception	Bonavista--Trinity--Conception	Newfoundland	Terre-Neuve	212	36674	68065	279	16	5	194	113	307	94842	1991	N	570	1.6	54.2	Mifflin	J.	Fred	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Walter Brown                         	105	English Harbour-Champney's East	1O	R	N	N	N	N		N	N	N	0	79	79	125	Dawe		Randy	Progressive Conservative	Progressiste-Conservateur	M	N	N	15	March		Fraser	N.D.P.	N.P.D.	M	N	N	34	Mifflin	J.	Fred	Liberal	Libéral	M	Y	Y	29	Randell	Christopher	L.	No Affiliation	Aucune appartenance	M	N	N	1									0									0									0									0									0									0									0									0									0
