event_number	ed_code	ed_english_name	ed_french_name	province_name_english	province_name_french	ed_rejected_ballot_count	ed_valid_vote_count	ed_electors_on_list_count	total_poll_count	advance_poll_count	mobile_poll_count	svr_group1_ballot_count	svr_group2_ballot_count	svr_total_ballot_count	population_cnt	census_year	judicial_recount_indictator	majority_count	majority_percentage	voter_participation_percentage	elected_last_name	elected_middle_name	elected_first_name	elected_party_english_name	elected_party_french_name	event_english_name	event_french_name	returning_officer	poll_number	polling_station_name	poll_type	urban_rural_indicator	void_indicator	no_poll_indicator	split_indicator	merge_indicator	merged_with_poll_number	advance_poll_indicator	mobile_poll_indicator	svr_poll_indicator	poll_rejected_ballot_count	poll_valid_vote_count	poll_total_ballot_count	poll_electors_on_list_count	cand_1_last_name	cand_1_middle_name	cand_1_first_name	cand_1_party_english_name	cand_1_party_french_name	cand_1_gender_code	cand_1_elected_indicator	cand_1_incumbent_indicator	cand_1_poll_vote	cand_2_last_name	cand_2_middle_name	cand_2_first_name	cand_2_party_english_name	cand_2_party_french_name	cand_2_gender_code	cand_2_elected_indicator	cand_2_incumbent_indicator	cand_2_poll_vote	cand_3_last_name	cand_3_middle_name	cand_3_first_name	cand_3_party_english_name	cand_3_party_french_name	cand_3_gender_code	cand_3_elected_indicator	cand_3_incumbent_indicator	cand_3_poll_vote	cand_4_last_name	cand_4_middle_name	cand_4_first_name	cand_4_party_english_name	cand_4_party_french_name	cand_4_gender_code	cand_4_elected_indicator	cand_4_incumbent_indicator	cand_4_poll_vote	cand_5_last_name	cand_5_middle_name	cand_5_first_name	cand_5_party_english_name	cand_5_party_french_name	cand_5_gender_code	cand_5_elected_indicator	cand_5_incumbent_indicator	cand_5_poll_vote	cand_6_last_name	cand_6_middle_name	cand_6_first_name	cand_6_party_english_name	cand_6_party_french_name	cand_6_gender_code	cand_6_elected_indicator	cand_6_incumbent_indicator	cand_6_poll_vote	cand_7_last_name	cand_7_middle_name	cand_7_first_name	cand_7_party_english_name	cand_7_party_french_name	cand_7_gender_code	cand_7_elected_indicator	cand_7_incumbent_indicator	cand_7_poll_vote	cand_8_last_name	cand_8_middle_name	cand_8_first_name	cand_8_party_english_name	cand_8_party_french_name	cand_8_gender_code	cand_8_elected_indicator	cand_8_incumbent_indicator	cand_8_poll_vote	cand_9_last_name	cand_9_middle_name	cand_9_first_name	cand_9_party_english_name	cand_9_party_french_name	cand_9_gender_code	cand_9_elected_indicator	cand_9_incumbent_indicator	cand_9_poll_vote	cand_10_last_name	cand_10_middle_name	cand_10_first_name	cand_10_party_english_name	cand_10_party_french_name	cand_10_gender_code	cand_10_elected_indicator	cand_10_incumbent_indicator	cand_10_poll_vote	cand_11_last_name	cand_11_middle_name	cand_11_first_name	cand_11_party_english_name	cand_11_party_french_name	cand_11_gender_code	cand_11_elected_indicator	cand_11_incumbent_indicator	cand_11_poll_vote	cand_12_last_name	cand_12_middle_name	cand_12_first_name	cand_12_party_english_name	cand_12_party_french_name	cand_12_gender_code	cand_12_elected_indicator	cand_12_incumbent_indicator	cand_12_poll_vote	cand_13_last_name	cand_13_middle_name	cand_13_first_name	cand_13_party_english_name	cand_13_party_french_name	cand_13_gender_code	cand_13_elected_indicator	cand_13_incumbent_indicator	cand_13_poll_vote
3600	ED47-001	Battlefords--Lloydminster	Battlefords--Lloydminster	Saskatchewan	Saskatchewan	91	30703	48692	168	12	2	83	197	280	74154	1991	N	4590	14.9	63.2	Ritz		Gerry	Reform	Réforme	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Albert Blais                         	1	Fort Pitt	2A	R	N	N	N	N		Y	N	N	1	66	67	0	Hornick		Glenn	Liberal	Libéral	M	N	N	6	Ritter		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	8	Ritz		Gerry	Reform	Réforme	M	Y	N	32	Taylor		Len	N.D.P.	N.P.D.	M	N	Y	20									0									0									0									0									0									0									0									0									0
3600	ED47-001	Battlefords--Lloydminster	Battlefords--Lloydminster	Saskatchewan	Saskatchewan	91	30703	48692	168	12	2	83	197	280	74154	1991	N	4590	14.9	63.2	Ritz		Gerry	Reform	Réforme	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Albert Blais                         	10	Wilkie	2A	R	N	N	N	N		Y	N	N	1	108	109	0	Hornick		Glenn	Liberal	Libéral	M	N	N	19	Ritter		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	4	Ritz		Gerry	Reform	Réforme	M	Y	N	34	Taylor		Len	N.D.P.	N.P.D.	M	N	Y	51									0									0									0									0									0									0									0									0									0
3600	ED47-001	Battlefords--Lloydminster	Battlefords--Lloydminster	Saskatchewan	Saskatchewan	91	30703	48692	168	12	2	83	197	280	74154	1991	N	4590	14.9	63.2	Ritz		Gerry	Reform	Réforme	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Albert Blais                         	10	Spruce Lake	1O	R	N	N	N	N		N	N	N	0	36	36	147	Hornick		Glenn	Liberal	Libéral	M	N	N	11	Ritter		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	1	Ritz		Gerry	Reform	Réforme	M	Y	N	0	Taylor		Len	N.D.P.	N.P.D.	M	N	Y	24									0									0									0									0									0									0									0									0									0
3600	ED47-001	Battlefords--Lloydminster	Battlefords--Lloydminster	Saskatchewan	Saskatchewan	91	30703	48692	168	12	2	83	197	280	74154	1991	N	4590	14.9	63.2	Ritz		Gerry	Reform	Réforme	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Albert Blais                         	100	Freemont	1O	R	N	N	N	N		N	N	N	0	243	243	481	Hornick		Glenn	Liberal	Libéral	M	N	N	22	Ritter		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	29	Ritz		Gerry	Reform	Réforme	M	Y	N	141	Taylor		Len	N.D.P.	N.P.D.	M	N	Y	51									0									0									0									0									0									0									0									0									0
3600	ED47-001	Battlefords--Lloydminster	Battlefords--Lloydminster	Saskatchewan	Saskatchewan	91	30703	48692	168	12	2	83	197	280	74154	1991	N	4590	14.9	63.2	Ritz		Gerry	Reform	Réforme	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Albert Blais                         	101	Senlac	1O	R	N	N	N	N		N	N	N	1	177	178	275	Hornick		Glenn	Liberal	Libéral	M	N	N	7	Ritter		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	17	Ritz		Gerry	Reform	Réforme	M	Y	N	133	Taylor		Len	N.D.P.	N.P.D.	M	N	Y	20									0									0									0									0									0									0									0									0									0
3600	ED47-001	Battlefords--Lloydminster	Battlefords--Lloydminster	Saskatchewan	Saskatchewan	91	30703	48692	168	12	2	83	197	280	74154	1991	N	4590	14.9	63.2	Ritz		Gerry	Reform	Réforme	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Albert Blais                         	102	Unity	1O	R	N	N	N	N		N	N	N	1	210	211	320	Hornick		Glenn	Liberal	Libéral	M	N	N	23	Ritter		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	14	Ritz		Gerry	Reform	Réforme	M	Y	N	142	Taylor		Len	N.D.P.	N.P.D.	M	N	Y	31									0									0									0									0									0									0									0									0									0
3600	ED47-001	Battlefords--Lloydminster	Battlefords--Lloydminster	Saskatchewan	Saskatchewan	91	30703	48692	168	12	2	83	197	280	74154	1991	N	4590	14.9	63.2	Ritz		Gerry	Reform	Réforme	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Albert Blais                         	103	Unity	1O	R	N	N	N	N		N	N	N	0	169	169	258	Hornick		Glenn	Liberal	Libéral	M	N	N	42	Ritter		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	10	Ritz		Gerry	Reform	Réforme	M	Y	N	80	Taylor		Len	N.D.P.	N.P.D.	M	N	Y	37									0									0									0									0									0									0									0									0									0
3600	ED47-001	Battlefords--Lloydminster	Battlefords--Lloydminster	Saskatchewan	Saskatchewan	91	30703	48692	168	12	2	83	197	280	74154	1991	N	4590	14.9	63.2	Ritz		Gerry	Reform	Réforme	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Albert Blais                         	104	Unity	1O	R	N	N	N	N		N	N	N	2	257	259	389	Hornick		Glenn	Liberal	Libéral	M	N	N	62	Ritter		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	21	Ritz		Gerry	Reform	Réforme	M	Y	N	134	Taylor		Len	N.D.P.	N.P.D.	M	N	Y	40									0									0									0									0									0									0									0									0									0
3600	ED47-001	Battlefords--Lloydminster	Battlefords--Lloydminster	Saskatchewan	Saskatchewan	91	30703	48692	168	12	2	83	197	280	74154	1991	N	4590	14.9	63.2	Ritz		Gerry	Reform	Réforme	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Albert Blais                         	105	Unity	1O	R	N	N	N	N		N	N	N	0	153	153	240	Hornick		Glenn	Liberal	Libéral	M	N	N	30	Ritter		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	14	Ritz		Gerry	Reform	Réforme	M	Y	N	80	Taylor		Len	N.D.P.	N.P.D.	M	N	Y	29									0									0									0									0									0									0									0									0									0
3600	ED47-001	Battlefords--Lloydminster	Battlefords--Lloydminster	Saskatchewan	Saskatchewan	91	30703	48692	168	12	2	83	197	280	74154	1991	N	4590	14.9	63.2	Ritz		Gerry	Reform	Réforme	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Albert Blais                         	106	Unity	1O	R	N	N	N	N		N	N	N	1	132	133	197	Hornick		Glenn	Liberal	Libéral	M	N	N	21	Ritter		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	16	Ritz		Gerry	Reform	Réforme	M	Y	N	62	Taylor		Len	N.D.P.	N.P.D.	M	N	Y	33									0									0									0									0									0									0									0									0									0
