event_number	ed_code	ed_english_name	ed_french_name	province_name_english	province_name_french	ed_rejected_ballot_count	ed_valid_vote_count	ed_electors_on_list_count	total_poll_count	advance_poll_count	mobile_poll_count	svr_group1_ballot_count	svr_group2_ballot_count	svr_total_ballot_count	population_cnt	census_year	judicial_recount_indictator	majority_count	majority_percentage	voter_participation_percentage	elected_last_name	elected_middle_name	elected_first_name	elected_party_english_name	elected_party_french_name	event_english_name	event_french_name	returning_officer	poll_number	polling_station_name	poll_type	urban_rural_indicator	void_indicator	no_poll_indicator	split_indicator	merge_indicator	merged_with_poll_number	advance_poll_indicator	mobile_poll_indicator	svr_poll_indicator	poll_rejected_ballot_count	poll_valid_vote_count	poll_total_ballot_count	poll_electors_on_list_count	cand_1_last_name	cand_1_middle_name	cand_1_first_name	cand_1_party_english_name	cand_1_party_french_name	cand_1_gender_code	cand_1_elected_indicator	cand_1_incumbent_indicator	cand_1_poll_vote	cand_2_last_name	cand_2_middle_name	cand_2_first_name	cand_2_party_english_name	cand_2_party_french_name	cand_2_gender_code	cand_2_elected_indicator	cand_2_incumbent_indicator	cand_2_poll_vote	cand_3_last_name	cand_3_middle_name	cand_3_first_name	cand_3_party_english_name	cand_3_party_french_name	cand_3_gender_code	cand_3_elected_indicator	cand_3_incumbent_indicator	cand_3_poll_vote	cand_4_last_name	cand_4_middle_name	cand_4_first_name	cand_4_party_english_name	cand_4_party_french_name	cand_4_gender_code	cand_4_elected_indicator	cand_4_incumbent_indicator	cand_4_poll_vote	cand_5_last_name	cand_5_middle_name	cand_5_first_name	cand_5_party_english_name	cand_5_party_french_name	cand_5_gender_code	cand_5_elected_indicator	cand_5_incumbent_indicator	cand_5_poll_vote	cand_6_last_name	cand_6_middle_name	cand_6_first_name	cand_6_party_english_name	cand_6_party_french_name	cand_6_gender_code	cand_6_elected_indicator	cand_6_incumbent_indicator	cand_6_poll_vote	cand_7_last_name	cand_7_middle_name	cand_7_first_name	cand_7_party_english_name	cand_7_party_french_name	cand_7_gender_code	cand_7_elected_indicator	cand_7_incumbent_indicator	cand_7_poll_vote	cand_8_last_name	cand_8_middle_name	cand_8_first_name	cand_8_party_english_name	cand_8_party_french_name	cand_8_gender_code	cand_8_elected_indicator	cand_8_incumbent_indicator	cand_8_poll_vote	cand_9_last_name	cand_9_middle_name	cand_9_first_name	cand_9_party_english_name	cand_9_party_french_name	cand_9_gender_code	cand_9_elected_indicator	cand_9_incumbent_indicator	cand_9_poll_vote	cand_10_last_name	cand_10_middle_name	cand_10_first_name	cand_10_party_english_name	cand_10_party_french_name	cand_10_gender_code	cand_10_elected_indicator	cand_10_incumbent_indicator	cand_10_poll_vote	cand_11_last_name	cand_11_middle_name	cand_11_first_name	cand_11_party_english_name	cand_11_party_french_name	cand_11_gender_code	cand_11_elected_indicator	cand_11_incumbent_indicator	cand_11_poll_vote	cand_12_last_name	cand_12_middle_name	cand_12_first_name	cand_12_party_english_name	cand_12_party_french_name	cand_12_gender_code	cand_12_elected_indicator	cand_12_incumbent_indicator	cand_12_poll_vote	cand_13_last_name	cand_13_middle_name	cand_13_first_name	cand_13_party_english_name	cand_13_party_french_name	cand_13_gender_code	cand_13_elected_indicator	cand_13_incumbent_indicator	cand_13_poll_vote
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	1	Old Crow	1O	R	N	N	N	N		N	N	N	1	92	93	187	Adamson		Shirley	Liberal	Libéral	F	N	N	38	Branigan		Don	Independent	Indépendant	M	N	N	5	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Gabb		Ken	Reform	Réforme	M	N	N	5	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	28	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	16									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	1	Dawson	2A	R	N	N	N	N		Y	N	N	1	38	39	0	Adamson		Shirley	Liberal	Libéral	F	N	N	6	Branigan		Don	Independent	Indépendant	M	N	N	2	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Gabb		Ken	Reform	Réforme	M	N	N	9	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	11	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	10									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	10	Koidern	1O	R	N	N	N	N		N	N	N	0	3	3	10	Adamson		Shirley	Liberal	Libéral	F	N	N	0	Branigan		Don	Independent	Indépendant	M	N	N	2	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Gabb		Ken	Reform	Réforme	M	N	N	1	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	0	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	0									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	10	Whitehorse	2A	U	N	N	N	N		Y	N	N	1	292	293	0	Adamson		Shirley	Liberal	Libéral	F	N	N	58	Branigan		Don	Independent	Indépendant	M	N	N	27	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	2	Gabb		Ken	Reform	Réforme	M	N	N	57	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	115	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	33									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	11	Burwash Landing	1O	R	N	N	N	N		N	N	N	0	63	63	97	Adamson		Shirley	Liberal	Libéral	F	N	N	16	Branigan		Don	Independent	Indépendant	M	N	N	9	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Gabb		Ken	Reform	Réforme	M	N	N	12	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	14	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	12									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	11	MacRae	2A	R	N	N	N	N		Y	N	N	0	35	35	0	Adamson		Shirley	Liberal	Libéral	F	N	N	10	Branigan		Don	Independent	Indépendant	M	N	N	3	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Gabb		Ken	Reform	Réforme	M	N	N	9	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	10	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	3									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	12	Destruction Bay	1O	R	N	N	N	N		N	N	N	0	39	39	50	Adamson		Shirley	Liberal	Libéral	F	N	N	3	Branigan		Don	Independent	Indépendant	M	N	N	3	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Gabb		Ken	Reform	Réforme	M	N	N	16	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	8	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	9									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	12	Carcross	2A	R	N	N	N	N		Y	N	N	0	24	24	0	Adamson		Shirley	Liberal	Libéral	F	N	N	4	Branigan		Don	Independent	Indépendant	M	N	N	2	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Gabb		Ken	Reform	Réforme	M	N	N	6	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	10	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	2									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	13	Pelly Crossing	1O	R	N	N	N	N		N	N	N	0	116	116	191	Adamson		Shirley	Liberal	Libéral	F	N	N	30	Branigan		Don	Independent	Indépendant	M	N	N	7	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	1	Gabb		Ken	Reform	Réforme	M	N	N	10	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	62	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	6									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	13	Swift River	2A	R	N	N	N	N		Y	N	N	0	33	33	0	Adamson		Shirley	Liberal	Libéral	F	N	N	2	Branigan		Don	Independent	Indépendant	M	N	N	1	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Gabb		Ken	Reform	Réforme	M	N	N	17	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	12	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	1									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	14	Carmacks	1O	R	N	N	N	N		N	N	N	0	152	152	276	Adamson		Shirley	Liberal	Libéral	F	N	N	31	Branigan		Don	Independent	Indépendant	M	N	N	16	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	2	Gabb		Ken	Reform	Réforme	M	N	N	34	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	45	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	24									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	14	Watson Lake	2A	R	N	N	N	N		Y	N	N	0	51	51	0	Adamson		Shirley	Liberal	Libéral	F	N	N	8	Branigan		Don	Independent	Indépendant	M	N	N	2	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Gabb		Ken	Reform	Réforme	M	N	N	16	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	14	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	11									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	15	Faro	1O	R	N	N	N	Y	16	N	N	N	0	0	0	195	Adamson		Shirley	Liberal	Libéral	F	N	N	0	Branigan		Don	Independent	Indépendant	M	N	N	0	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Gabb		Ken	Reform	Réforme	M	N	N	0	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	0	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	0									0									0									0									0									0									0									0
3600	ED60-001	Yukon	Yukon	Yukon Territory	Territoire du Yukon	86	13829	19934	88	14	0	54	309	363	27797	1991	N	509	3.7	69.8	Hardy	Frances	Louise	N.D.P.	N.P.D.	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Dave Brekke                        	16	Faro	1O	R	N	N	N	N		N	N	N	0	209	209	170	Adamson		Shirley	Liberal	Libéral	F	N	N	35	Branigan		Don	Independent	Indépendant	M	N	N	7	Capp		Geoffrey	C.H.P. of Canada	P.H.C. du Canada	M	N	N	4	Gabb		Ken	Reform	Réforme	M	N	N	58	Hardy	Frances	Louise	N.D.P.	N.P.D.	F	Y	N	88	McKinnon		Ken	Progressive Conservative	Progressiste-Conservateur	M	N	N	17									0									0									0									0									0									0									0
