event_number	ed_code	ed_english_name	ed_french_name	province_name_english	province_name_french	ed_rejected_ballot_count	ed_valid_vote_count	ed_electors_on_list_count	total_poll_count	advance_poll_count	mobile_poll_count	svr_group1_ballot_count	svr_group2_ballot_count	svr_total_ballot_count	population_cnt	census_year	judicial_recount_indictator	majority_count	majority_percentage	voter_participation_percentage	elected_last_name	elected_middle_name	elected_first_name	elected_party_english_name	elected_party_french_name	event_english_name	event_french_name	returning_officer	poll_number	polling_station_name	poll_type	urban_rural_indicator	void_indicator	no_poll_indicator	split_indicator	merge_indicator	merged_with_poll_number	advance_poll_indicator	mobile_poll_indicator	svr_poll_indicator	poll_rejected_ballot_count	poll_valid_vote_count	poll_total_ballot_count	poll_electors_on_list_count	cand_1_last_name	cand_1_middle_name	cand_1_first_name	cand_1_party_english_name	cand_1_party_french_name	cand_1_gender_code	cand_1_elected_indicator	cand_1_incumbent_indicator	cand_1_poll_vote	cand_2_last_name	cand_2_middle_name	cand_2_first_name	cand_2_party_english_name	cand_2_party_french_name	cand_2_gender_code	cand_2_elected_indicator	cand_2_incumbent_indicator	cand_2_poll_vote	cand_3_last_name	cand_3_middle_name	cand_3_first_name	cand_3_party_english_name	cand_3_party_french_name	cand_3_gender_code	cand_3_elected_indicator	cand_3_incumbent_indicator	cand_3_poll_vote	cand_4_last_name	cand_4_middle_name	cand_4_first_name	cand_4_party_english_name	cand_4_party_french_name	cand_4_gender_code	cand_4_elected_indicator	cand_4_incumbent_indicator	cand_4_poll_vote	cand_5_last_name	cand_5_middle_name	cand_5_first_name	cand_5_party_english_name	cand_5_party_french_name	cand_5_gender_code	cand_5_elected_indicator	cand_5_incumbent_indicator	cand_5_poll_vote	cand_6_last_name	cand_6_middle_name	cand_6_first_name	cand_6_party_english_name	cand_6_party_french_name	cand_6_gender_code	cand_6_elected_indicator	cand_6_incumbent_indicator	cand_6_poll_vote	cand_7_last_name	cand_7_middle_name	cand_7_first_name	cand_7_party_english_name	cand_7_party_french_name	cand_7_gender_code	cand_7_elected_indicator	cand_7_incumbent_indicator	cand_7_poll_vote	cand_8_last_name	cand_8_middle_name	cand_8_first_name	cand_8_party_english_name	cand_8_party_french_name	cand_8_gender_code	cand_8_elected_indicator	cand_8_incumbent_indicator	cand_8_poll_vote	cand_9_last_name	cand_9_middle_name	cand_9_first_name	cand_9_party_english_name	cand_9_party_french_name	cand_9_gender_code	cand_9_elected_indicator	cand_9_incumbent_indicator	cand_9_poll_vote	cand_10_last_name	cand_10_middle_name	cand_10_first_name	cand_10_party_english_name	cand_10_party_french_name	cand_10_gender_code	cand_10_elected_indicator	cand_10_incumbent_indicator	cand_10_poll_vote	cand_11_last_name	cand_11_middle_name	cand_11_first_name	cand_11_party_english_name	cand_11_party_french_name	cand_11_gender_code	cand_11_elected_indicator	cand_11_incumbent_indicator	cand_11_poll_vote	cand_12_last_name	cand_12_middle_name	cand_12_first_name	cand_12_party_english_name	cand_12_party_french_name	cand_12_gender_code	cand_12_elected_indicator	cand_12_incumbent_indicator	cand_12_poll_vote	cand_13_last_name	cand_13_middle_name	cand_13_first_name	cand_13_party_english_name	cand_13_party_french_name	cand_13_gender_code	cand_13_elected_indicator	cand_13_incumbent_indicator	cand_13_poll_vote
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	1	Mould Bay	1O	N	Y	N	N	N		N	N	N	0	0	0	0	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	0	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	0	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	0	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	0									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	10	Inuvik	1O	N	N	N	N	N		N	N	N	0	91	91	188	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	29	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	36	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	10	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	16									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	11	Inuvik	1O	N	N	N	N	N		N	N	N	1	81	82	208	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	28	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	36	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	3	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	14									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	12	Inuvik	1O	N	N	N	N	N		N	N	N	0	129	129	244	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	38	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	51	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	20	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	20									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	13	Inuvik	1O	N	N	N	N	N		N	N	N	1	134	135	268	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	34	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	50	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	20	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	30									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	14	Inuvik	1O	N	N	N	N	N		N	N	N	1	131	132	247	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	29	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	63	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	14	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	25									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	15	Aklavik	1O	N	N	N	N	N		N	N	N	1	120	121	354	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	39	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	62	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	12	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	7									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	16	Aklavik	1O	N	N	N	N	N		N	N	N	0	56	56	156	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	30	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	17	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	8	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	1									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	17	Fort McPherson	1O	N	N	N	N	N		N	N	N	0	31	31	117	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	7	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	17	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	6	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	1									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	18	Fort McPherson	1O	N	N	N	N	N		N	N	N	0	152	152	404	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	19	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	115	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	4	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	14									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	19	Arctic Red River	1O	N	N	N	N	N		N	N	N	1	54	55	103	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	21	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	31	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	2	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	0									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	2	Sachs Harbour	1O	N	N	N	N	N		N	N	N	0	32	32	70	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	1	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	24	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	3	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	4									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	20	Fort Good Hope	1O	N	N	N	N	N		N	N	N	2	129	131	344	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	48	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	60	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	11	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	10									0									0									0									0									0									0									0									0									0
3700	ED61-002	Western Arctic	Western Arctic	Northwest Territories	Territoires du Nord-Ouest	72	12840	24716	92	7	0	94	438	532	24730	1996	N	2425	18.9	52.2	Blondin-Andrew		Ethel	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	David Connelly	21	Colville Lake	1O	N	N	N	N	N		N	N	N	0	37	37	64	Bevington		Dennis	N.D.P.	N.P.D.	M	N	N	14	Blondin-Andrew		Ethel	Liberal	Libéral	F	Y	Y	12	McLaughlin		Bruce	Progressive Conservative	Progressiste-Conservateur	M	N	N	6	Turner		Fred	Canadian Alliance	Alliance Canadienne	M	N	N	5									0									0									0									0									0									0									0									0									0
