event_number	ed_code	ed_english_name	ed_french_name	province_name_english	province_name_french	ed_rejected_ballot_count	ed_valid_vote_count	ed_electors_on_list_count	total_poll_count	advance_poll_count	mobile_poll_count	svr_group1_ballot_count	svr_group2_ballot_count	svr_total_ballot_count	population_cnt	census_year	judicial_recount_indictator	majority_count	majority_percentage	voter_participation_percentage	elected_last_name	elected_middle_name	elected_first_name	elected_party_english_name	elected_party_french_name	event_english_name	event_french_name	returning_officer	poll_number	polling_station_name	poll_type	urban_rural_indicator	void_indicator	no_poll_indicator	split_indicator	merge_indicator	merged_with_poll_number	advance_poll_indicator	mobile_poll_indicator	svr_poll_indicator	poll_rejected_ballot_count	poll_valid_vote_count	poll_total_ballot_count	poll_electors_on_list_count	cand_1_last_name	cand_1_middle_name	cand_1_first_name	cand_1_party_english_name	cand_1_party_french_name	cand_1_gender_code	cand_1_elected_indicator	cand_1_incumbent_indicator	cand_1_poll_vote	cand_2_last_name	cand_2_middle_name	cand_2_first_name	cand_2_party_english_name	cand_2_party_french_name	cand_2_gender_code	cand_2_elected_indicator	cand_2_incumbent_indicator	cand_2_poll_vote	cand_3_last_name	cand_3_middle_name	cand_3_first_name	cand_3_party_english_name	cand_3_party_french_name	cand_3_gender_code	cand_3_elected_indicator	cand_3_incumbent_indicator	cand_3_poll_vote	cand_4_last_name	cand_4_middle_name	cand_4_first_name	cand_4_party_english_name	cand_4_party_french_name	cand_4_gender_code	cand_4_elected_indicator	cand_4_incumbent_indicator	cand_4_poll_vote	cand_5_last_name	cand_5_middle_name	cand_5_first_name	cand_5_party_english_name	cand_5_party_french_name	cand_5_gender_code	cand_5_elected_indicator	cand_5_incumbent_indicator	cand_5_poll_vote	cand_6_last_name	cand_6_middle_name	cand_6_first_name	cand_6_party_english_name	cand_6_party_french_name	cand_6_gender_code	cand_6_elected_indicator	cand_6_incumbent_indicator	cand_6_poll_vote	cand_7_last_name	cand_7_middle_name	cand_7_first_name	cand_7_party_english_name	cand_7_party_french_name	cand_7_gender_code	cand_7_elected_indicator	cand_7_incumbent_indicator	cand_7_poll_vote	cand_8_last_name	cand_8_middle_name	cand_8_first_name	cand_8_party_english_name	cand_8_party_french_name	cand_8_gender_code	cand_8_elected_indicator	cand_8_incumbent_indicator	cand_8_poll_vote	cand_9_last_name	cand_9_middle_name	cand_9_first_name	cand_9_party_english_name	cand_9_party_french_name	cand_9_gender_code	cand_9_elected_indicator	cand_9_incumbent_indicator	cand_9_poll_vote	cand_10_last_name	cand_10_middle_name	cand_10_first_name	cand_10_party_english_name	cand_10_party_french_name	cand_10_gender_code	cand_10_elected_indicator	cand_10_incumbent_indicator	cand_10_poll_vote	cand_11_last_name	cand_11_middle_name	cand_11_first_name	cand_11_party_english_name	cand_11_party_french_name	cand_11_gender_code	cand_11_elected_indicator	cand_11_incumbent_indicator	cand_11_poll_vote	cand_12_last_name	cand_12_middle_name	cand_12_first_name	cand_12_party_english_name	cand_12_party_french_name	cand_12_gender_code	cand_12_elected_indicator	cand_12_incumbent_indicator	cand_12_poll_vote	cand_13_last_name	cand_13_middle_name	cand_13_first_name	cand_13_party_english_name	cand_13_party_french_name	cand_13_gender_code	cand_13_elected_indicator	cand_13_incumbent_indicator	cand_13_poll_vote
3600	ED46-001	Brandon--Souris	Brandon--Souris	Manitoba	Manitoba	135	37138	55735	173	9	0	113	575	688	78263	1991	N	1333	3.6	66.9	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Stewart Brandon                       	1	Virden	2A	R	N	N	N	N		Y	N	N	0	110	110	0	Agnew		Ed	Reform	Réforme	M	N	N	31	Atkins	George	Colin	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Borden	Gorf	Geoff	No Affiliation	Aucune appartenance	M	N	N	1	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	M	Y	N	42	Howard		Jennifer	N.D.P.	N.P.D.	F	N	N	11	McKinnon		Glen	Liberal	Libéral	M	N	Y	25									0									0									0									0									0									0									0
3600	ED46-001	Brandon--Souris	Brandon--Souris	Manitoba	Manitoba	135	37138	55735	173	9	0	113	575	688	78263	1991	N	1333	3.6	66.9	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Stewart Brandon                       	1	Elkhorn	1O	R	N	N	N	N		N	N	N	1	155	156	235	Agnew		Ed	Reform	Réforme	M	N	N	75	Atkins	George	Colin	C.H.P. of Canada	P.H.C. du Canada	M	N	N	1	Borden	Gorf	Geoff	No Affiliation	Aucune appartenance	M	N	N	0	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	M	Y	N	51	Howard		Jennifer	N.D.P.	N.P.D.	F	N	N	10	McKinnon		Glen	Liberal	Libéral	M	N	Y	18									0									0									0									0									0									0									0
3600	ED46-001	Brandon--Souris	Brandon--Souris	Manitoba	Manitoba	135	37138	55735	173	9	0	113	575	688	78263	1991	N	1333	3.6	66.9	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Stewart Brandon                       	10	Killarney	2A	R	N	N	N	N		Y	N	N	0	58	58	0	Agnew		Ed	Reform	Réforme	M	N	N	36	Atkins	George	Colin	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Borden	Gorf	Geoff	No Affiliation	Aucune appartenance	M	N	N	0	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	M	Y	N	15	Howard		Jennifer	N.D.P.	N.P.D.	F	N	N	1	McKinnon		Glen	Liberal	Libéral	M	N	Y	6									0									0									0									0									0									0									0
3600	ED46-001	Brandon--Souris	Brandon--Souris	Manitoba	Manitoba	135	37138	55735	173	9	0	113	575	688	78263	1991	N	1333	3.6	66.9	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Stewart Brandon                       	10	Virden	1O	R	N	N	N	N		N	N	N	4	238	242	374	Agnew		Ed	Reform	Réforme	M	N	N	68	Atkins	George	Colin	C.H.P. of Canada	P.H.C. du Canada	M	N	N	2	Borden	Gorf	Geoff	No Affiliation	Aucune appartenance	M	N	N	1	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	M	Y	N	104	Howard		Jennifer	N.D.P.	N.P.D.	F	N	N	18	McKinnon		Glen	Liberal	Libéral	M	N	Y	45									0									0									0									0									0									0									0
3600	ED46-001	Brandon--Souris	Brandon--Souris	Manitoba	Manitoba	135	37138	55735	173	9	0	113	575	688	78263	1991	N	1333	3.6	66.9	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Stewart Brandon                       	100	Westview	1O	U	N	N	N	N		N	N	N	1	283	284	412	Agnew		Ed	Reform	Réforme	M	N	N	65	Atkins	George	Colin	C.H.P. of Canada	P.H.C. du Canada	M	N	N	2	Borden	Gorf	Geoff	No Affiliation	Aucune appartenance	M	N	N	2	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	M	Y	N	91	Howard		Jennifer	N.D.P.	N.P.D.	F	N	N	55	McKinnon		Glen	Liberal	Libéral	M	N	Y	68									0									0									0									0									0									0									0
3600	ED46-001	Brandon--Souris	Brandon--Souris	Manitoba	Manitoba	135	37138	55735	173	9	0	113	575	688	78263	1991	N	1333	3.6	66.9	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Stewart Brandon                       	101	Westview	1O	U	N	N	N	N		N	N	N	0	296	296	409	Agnew		Ed	Reform	Réforme	M	N	N	70	Atkins	George	Colin	C.H.P. of Canada	P.H.C. du Canada	M	N	N	1	Borden	Gorf	Geoff	No Affiliation	Aucune appartenance	M	N	N	1	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	M	Y	N	144	Howard		Jennifer	N.D.P.	N.P.D.	F	N	N	21	McKinnon		Glen	Liberal	Libéral	M	N	Y	59									0									0									0									0									0									0									0
3600	ED46-001	Brandon--Souris	Brandon--Souris	Manitoba	Manitoba	135	37138	55735	173	9	0	113	575	688	78263	1991	N	1333	3.6	66.9	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Stewart Brandon                       	102	Linden Lanes	1O	U	N	N	N	N		N	N	N	0	308	308	432	Agnew		Ed	Reform	Réforme	M	N	N	104	Atkins	George	Colin	C.H.P. of Canada	P.H.C. du Canada	M	N	N	0	Borden	Gorf	Geoff	No Affiliation	Aucune appartenance	M	N	N	3	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	M	Y	N	84	Howard		Jennifer	N.D.P.	N.P.D.	F	N	N	51	McKinnon		Glen	Liberal	Libéral	M	N	Y	66									0									0									0									0									0									0									0
3600	ED46-001	Brandon--Souris	Brandon--Souris	Manitoba	Manitoba	135	37138	55735	173	9	0	113	575	688	78263	1991	N	1333	3.6	66.9	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Stewart Brandon                       	103	Richmond Park	1O	U	N	N	N	N		N	N	N	0	166	166	287	Agnew		Ed	Reform	Réforme	M	N	N	27	Atkins	George	Colin	C.H.P. of Canada	P.H.C. du Canada	M	N	N	1	Borden	Gorf	Geoff	No Affiliation	Aucune appartenance	M	N	N	1	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	M	Y	N	76	Howard		Jennifer	N.D.P.	N.P.D.	F	N	N	29	McKinnon		Glen	Liberal	Libéral	M	N	Y	32									0									0									0									0									0									0									0
3600	ED46-001	Brandon--Souris	Brandon--Souris	Manitoba	Manitoba	135	37138	55735	173	9	0	113	575	688	78263	1991	N	1333	3.6	66.9	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Stewart Brandon                       	104	Linden Lanes	1O	U	N	N	N	N		N	N	N	0	340	340	483	Agnew		Ed	Reform	Réforme	M	N	N	84	Atkins	George	Colin	C.H.P. of Canada	P.H.C. du Canada	M	N	N	1	Borden	Gorf	Geoff	No Affiliation	Aucune appartenance	M	N	N	5	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	M	Y	N	127	Howard		Jennifer	N.D.P.	N.P.D.	F	N	N	47	McKinnon		Glen	Liberal	Libéral	M	N	Y	76									0									0									0									0									0									0									0
3600	ED46-001	Brandon--Souris	Brandon--Souris	Manitoba	Manitoba	135	37138	55735	173	9	0	113	575	688	78263	1991	N	1333	3.6	66.9	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Stewart Brandon                       	105	Richmond Park	1O	U	N	N	N	N		N	N	N	1	196	197	382	Agnew		Ed	Reform	Réforme	M	N	N	62	Atkins	George	Colin	C.H.P. of Canada	P.H.C. du Canada	M	N	N	2	Borden	Gorf	Geoff	No Affiliation	Aucune appartenance	M	N	N	4	Borotsik		Rick	Progressive Conservative	Progressiste-Conservateur	M	Y	N	44	Howard		Jennifer	N.D.P.	N.P.D.	F	N	N	44	McKinnon		Glen	Liberal	Libéral	M	N	Y	40									0									0									0									0									0									0									0
