event_number	ed_code	ed_english_name	ed_french_name	province_name_english	province_name_french	ed_rejected_ballot_count	ed_valid_vote_count	ed_electors_on_list_count	total_poll_count	advance_poll_count	mobile_poll_count	svr_group1_ballot_count	svr_group2_ballot_count	svr_total_ballot_count	population_cnt	census_year	judicial_recount_indictator	majority_count	majority_percentage	voter_participation_percentage	elected_last_name	elected_middle_name	elected_first_name	elected_party_english_name	elected_party_french_name	event_english_name	event_french_name	returning_officer	poll_number	polling_station_name	poll_type	urban_rural_indicator	void_indicator	no_poll_indicator	split_indicator	merge_indicator	merged_with_poll_number	advance_poll_indicator	mobile_poll_indicator	svr_poll_indicator	poll_rejected_ballot_count	poll_valid_vote_count	poll_total_ballot_count	poll_electors_on_list_count	cand_1_last_name	cand_1_middle_name	cand_1_first_name	cand_1_party_english_name	cand_1_party_french_name	cand_1_gender_code	cand_1_elected_indicator	cand_1_incumbent_indicator	cand_1_poll_vote	cand_2_last_name	cand_2_middle_name	cand_2_first_name	cand_2_party_english_name	cand_2_party_french_name	cand_2_gender_code	cand_2_elected_indicator	cand_2_incumbent_indicator	cand_2_poll_vote	cand_3_last_name	cand_3_middle_name	cand_3_first_name	cand_3_party_english_name	cand_3_party_french_name	cand_3_gender_code	cand_3_elected_indicator	cand_3_incumbent_indicator	cand_3_poll_vote	cand_4_last_name	cand_4_middle_name	cand_4_first_name	cand_4_party_english_name	cand_4_party_french_name	cand_4_gender_code	cand_4_elected_indicator	cand_4_incumbent_indicator	cand_4_poll_vote	cand_5_last_name	cand_5_middle_name	cand_5_first_name	cand_5_party_english_name	cand_5_party_french_name	cand_5_gender_code	cand_5_elected_indicator	cand_5_incumbent_indicator	cand_5_poll_vote	cand_6_last_name	cand_6_middle_name	cand_6_first_name	cand_6_party_english_name	cand_6_party_french_name	cand_6_gender_code	cand_6_elected_indicator	cand_6_incumbent_indicator	cand_6_poll_vote	cand_7_last_name	cand_7_middle_name	cand_7_first_name	cand_7_party_english_name	cand_7_party_french_name	cand_7_gender_code	cand_7_elected_indicator	cand_7_incumbent_indicator	cand_7_poll_vote	cand_8_last_name	cand_8_middle_name	cand_8_first_name	cand_8_party_english_name	cand_8_party_french_name	cand_8_gender_code	cand_8_elected_indicator	cand_8_incumbent_indicator	cand_8_poll_vote	cand_9_last_name	cand_9_middle_name	cand_9_first_name	cand_9_party_english_name	cand_9_party_french_name	cand_9_gender_code	cand_9_elected_indicator	cand_9_incumbent_indicator	cand_9_poll_vote	cand_10_last_name	cand_10_middle_name	cand_10_first_name	cand_10_party_english_name	cand_10_party_french_name	cand_10_gender_code	cand_10_elected_indicator	cand_10_incumbent_indicator	cand_10_poll_vote	cand_11_last_name	cand_11_middle_name	cand_11_first_name	cand_11_party_english_name	cand_11_party_french_name	cand_11_gender_code	cand_11_elected_indicator	cand_11_incumbent_indicator	cand_11_poll_vote	cand_12_last_name	cand_12_middle_name	cand_12_first_name	cand_12_party_english_name	cand_12_party_french_name	cand_12_gender_code	cand_12_elected_indicator	cand_12_incumbent_indicator	cand_12_poll_vote	cand_13_last_name	cand_13_middle_name	cand_13_first_name	cand_13_party_english_name	cand_13_party_french_name	cand_13_gender_code	cand_13_elected_indicator	cand_13_incumbent_indicator	cand_13_poll_vote
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	1	Mount Stewart	2A	R	N	N	N	N		Y	N	N	1	113	114	0	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	5	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	46	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	62									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	1	Grand Tracadie	1O	R	N	N	N	N		N	N	N	1	302	303	442	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	43	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	122	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	137									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	10	Fort Augustus	1O	R	N	N	N	N		N	N	N	2	201	203	248	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	29	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	92	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	80									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	11	Waterside	1O	R	N	N	N	N		N	N	N	2	278	280	394	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	30	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	120	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	128									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	12	Donagh	1O	R	N	N	N	N		N	N	N	0	251	251	375	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	35	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	110	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	106									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	13	Mermaid	1O	R	N	N	N	N		N	N	N	3	290	293	381	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	60	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	120	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	110									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	14	Hazelbrook	1O	R	N	N	N	N		N	N	N	1	225	226	329	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	33	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	114	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	78									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	15	Cross Roads	1O	R	N	N	N	N		N	N	N	3	238	241	405	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	59	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	94	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	85									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	16	Cross Roads	1O	R	N	N	N	N		N	N	N	2	206	208	274	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	24	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	88	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	94									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	17	Cross Roads	1O	R	N	N	N	N		N	N	N	4	215	219	282	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	35	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	51	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	129									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	18	Cross Roads	1O	R	N	N	N	N		N	N	N	0	166	166	221	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	21	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	65	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	80									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	19	Pownall	1O	R	N	N	N	N		N	N	N	4	211	215	305	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	42	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	71	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	98									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	2	Cross Roads	2A	R	N	N	N	N		Y	N	N	0	156	156	0	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	22	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	62	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	72									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	2	Dunstaffnage	1O	R	N	N	N	N		N	N	N	3	208	211	305	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	35	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	103	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	70									0									0									0									0									0									0									0									0									0									0
3600	ED11-001	Cardigan	Cardigan	Prince Edward Island	Île-du-Prince-Édouard	170	16772	21887	73	4	2	62	200	262	30058	1991	N	99	0.6	77.4	MacAulay		Lawrence	Liberal	Libéral	Thirty-sixth General Election 1997	Trente-sixième élection générale 1997	Mary Dyck                          	20	Pownall	1O	R	N	N	N	N		N	N	N	4	262	266	360	Duchesne		Larry	N.D.P.	N.P.D.	M	N	N	41	Hughes		Dan	Progressive Conservative	Progressiste-Conservateur	M	N	N	112	MacAulay		Lawrence	Liberal	Libéral	M	Y	Y	109									0									0									0									0									0									0									0									0									0									0
