event_number	ed_code	ed_english_name	ed_french_name	province_name_english	province_name_french	ed_rejected_ballot_count	ed_valid_vote_count	ed_electors_on_list_count	total_poll_count	advance_poll_count	mobile_poll_count	svr_group1_ballot_count	svr_group2_ballot_count	svr_total_ballot_count	population_cnt	census_year	judicial_recount_indictator	majority_count	majority_percentage	voter_participation_percentage	elected_last_name	elected_middle_name	elected_first_name	elected_party_english_name	elected_party_french_name	event_english_name	event_french_name	returning_officer	poll_number	polling_station_name	poll_type	urban_rural_indicator	void_indicator	no_poll_indicator	split_indicator	merge_indicator	merged_with_poll_number	advance_poll_indicator	mobile_poll_indicator	svr_poll_indicator	poll_rejected_ballot_count	poll_valid_vote_count	poll_total_ballot_count	poll_electors_on_list_count	cand_1_last_name	cand_1_middle_name	cand_1_first_name	cand_1_party_english_name	cand_1_party_french_name	cand_1_gender_code	cand_1_elected_indicator	cand_1_incumbent_indicator	cand_1_poll_vote	cand_2_last_name	cand_2_middle_name	cand_2_first_name	cand_2_party_english_name	cand_2_party_french_name	cand_2_gender_code	cand_2_elected_indicator	cand_2_incumbent_indicator	cand_2_poll_vote	cand_3_last_name	cand_3_middle_name	cand_3_first_name	cand_3_party_english_name	cand_3_party_french_name	cand_3_gender_code	cand_3_elected_indicator	cand_3_incumbent_indicator	cand_3_poll_vote	cand_4_last_name	cand_4_middle_name	cand_4_first_name	cand_4_party_english_name	cand_4_party_french_name	cand_4_gender_code	cand_4_elected_indicator	cand_4_incumbent_indicator	cand_4_poll_vote	cand_5_last_name	cand_5_middle_name	cand_5_first_name	cand_5_party_english_name	cand_5_party_french_name	cand_5_gender_code	cand_5_elected_indicator	cand_5_incumbent_indicator	cand_5_poll_vote	cand_6_last_name	cand_6_middle_name	cand_6_first_name	cand_6_party_english_name	cand_6_party_french_name	cand_6_gender_code	cand_6_elected_indicator	cand_6_incumbent_indicator	cand_6_poll_vote	cand_7_last_name	cand_7_middle_name	cand_7_first_name	cand_7_party_english_name	cand_7_party_french_name	cand_7_gender_code	cand_7_elected_indicator	cand_7_incumbent_indicator	cand_7_poll_vote	cand_8_last_name	cand_8_middle_name	cand_8_first_name	cand_8_party_english_name	cand_8_party_french_name	cand_8_gender_code	cand_8_elected_indicator	cand_8_incumbent_indicator	cand_8_poll_vote	cand_9_last_name	cand_9_middle_name	cand_9_first_name	cand_9_party_english_name	cand_9_party_french_name	cand_9_gender_code	cand_9_elected_indicator	cand_9_incumbent_indicator	cand_9_poll_vote	cand_10_last_name	cand_10_middle_name	cand_10_first_name	cand_10_party_english_name	cand_10_party_french_name	cand_10_gender_code	cand_10_elected_indicator	cand_10_incumbent_indicator	cand_10_poll_vote	cand_11_last_name	cand_11_middle_name	cand_11_first_name	cand_11_party_english_name	cand_11_party_french_name	cand_11_gender_code	cand_11_elected_indicator	cand_11_incumbent_indicator	cand_11_poll_vote	cand_12_last_name	cand_12_middle_name	cand_12_first_name	cand_12_party_english_name	cand_12_party_french_name	cand_12_gender_code	cand_12_elected_indicator	cand_12_incumbent_indicator	cand_12_poll_vote	cand_13_last_name	cand_13_middle_name	cand_13_first_name	cand_13_party_english_name	cand_13_party_french_name	cand_13_gender_code	cand_13_elected_indicator	cand_13_incumbent_indicator	cand_13_poll_vote
3700	ED62-001	Nunavut	Nunavut	Nunavut	Nunavut	54	7719	14369	46	5	0	19	41	60	39672	1996	N	3917	50.7	54.1	Karetak-Lindell		Nancy	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	Sandy Kusugak	1	Alert	1O	N	Y	N	N	N		N	N	N	0	0	0	0	Enuaraq	Susan	Palluq	N.D.P.	N.P.D.	F	N	N	0	Jones	Robert	Brian	Green Party	Parti Vert	M	N	N	0	Karetak-Lindell		Nancy	Liberal	Libéral	F	Y	Y	0	Sherman		Mike	Progressive Conservative	Progressiste-Conservateur	M	N	N	0									0									0									0									0									0									0									0									0									0
3700	ED62-001	Nunavut	Nunavut	Nunavut	Nunavut	54	7719	14369	46	5	0	19	41	60	39672	1996	N	3917	50.7	54.1	Karetak-Lindell		Nancy	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	Sandy Kusugak	10	Taloyoak	1O	N	N	N	N	N		N	N	N	1	133	134	340	Enuaraq	Susan	Palluq	N.D.P.	N.P.D.	F	N	N	12	Jones	Robert	Brian	Green Party	Parti Vert	M	N	N	4	Karetak-Lindell		Nancy	Liberal	Libéral	F	Y	Y	108	Sherman		Mike	Progressive Conservative	Progressiste-Conservateur	M	N	N	9									0									0									0									0									0									0									0									0									0
3700	ED62-001	Nunavut	Nunavut	Nunavut	Nunavut	54	7719	14369	46	5	0	19	41	60	39672	1996	N	3917	50.7	54.1	Karetak-Lindell		Nancy	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	Sandy Kusugak	11	Cambridge Bay	1O	N	N	N	N	N		N	N	N	0	156	156	278	Enuaraq	Susan	Palluq	N.D.P.	N.P.D.	F	N	N	18	Jones	Robert	Brian	Green Party	Parti Vert	M	N	N	20	Karetak-Lindell		Nancy	Liberal	Libéral	F	Y	Y	105	Sherman		Mike	Progressive Conservative	Progressiste-Conservateur	M	N	N	13									0									0									0									0									0									0									0									0									0
3700	ED62-001	Nunavut	Nunavut	Nunavut	Nunavut	54	7719	14369	46	5	0	19	41	60	39672	1996	N	3917	50.7	54.1	Karetak-Lindell		Nancy	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	Sandy Kusugak	12	Cambridge Bay	1O	N	N	N	N	N		N	N	N	1	228	229	815	Enuaraq	Susan	Palluq	N.D.P.	N.P.D.	F	N	N	21	Jones	Robert	Brian	Green Party	Parti Vert	M	N	N	36	Karetak-Lindell		Nancy	Liberal	Libéral	F	Y	Y	147	Sherman		Mike	Progressive Conservative	Progressiste-Conservateur	M	N	N	24									0									0									0									0									0									0									0									0									0
3700	ED62-001	Nunavut	Nunavut	Nunavut	Nunavut	54	7719	14369	46	5	0	19	41	60	39672	1996	N	3917	50.7	54.1	Karetak-Lindell		Nancy	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	Sandy Kusugak	13	Bernard	1O	N	Y	N	N	N		N	N	N	0	0	0	0	Enuaraq	Susan	Palluq	N.D.P.	N.P.D.	F	N	N	0	Jones	Robert	Brian	Green Party	Parti Vert	M	N	N	0	Karetak-Lindell		Nancy	Liberal	Libéral	F	Y	Y	0	Sherman		Mike	Progressive Conservative	Progressiste-Conservateur	M	N	N	0									0									0									0									0									0									0									0									0									0
3700	ED62-001	Nunavut	Nunavut	Nunavut	Nunavut	54	7719	14369	46	5	0	19	41	60	39672	1996	N	3917	50.7	54.1	Karetak-Lindell		Nancy	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	Sandy Kusugak	14	Bernard	1O	N	Y	N	N	N		N	N	N	0	0	0	0	Enuaraq	Susan	Palluq	N.D.P.	N.P.D.	F	N	N	0	Jones	Robert	Brian	Green Party	Parti Vert	M	N	N	0	Karetak-Lindell		Nancy	Liberal	Libéral	F	Y	Y	0	Sherman		Mike	Progressive Conservative	Progressiste-Conservateur	M	N	N	0									0									0									0									0									0									0									0									0									0
3700	ED62-001	Nunavut	Nunavut	Nunavut	Nunavut	54	7719	14369	46	5	0	19	41	60	39672	1996	N	3917	50.7	54.1	Karetak-Lindell		Nancy	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	Sandy Kusugak	15	Bernard	1O	N	Y	N	N	N		N	N	N	0	0	0	0	Enuaraq	Susan	Palluq	N.D.P.	N.P.D.	F	N	N	0	Jones	Robert	Brian	Green Party	Parti Vert	M	N	N	0	Karetak-Lindell		Nancy	Liberal	Libéral	F	Y	Y	0	Sherman		Mike	Progressive Conservative	Progressiste-Conservateur	M	N	N	0									0									0									0									0									0									0									0									0									0
3700	ED62-001	Nunavut	Nunavut	Nunavut	Nunavut	54	7719	14369	46	5	0	19	41	60	39672	1996	N	3917	50.7	54.1	Karetak-Lindell		Nancy	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	Sandy Kusugak	16	Thom Bay	1O	N	Y	N	N	N		N	N	N	0	0	0	0	Enuaraq	Susan	Palluq	N.D.P.	N.P.D.	F	N	N	0	Jones	Robert	Brian	Green Party	Parti Vert	M	N	N	0	Karetak-Lindell		Nancy	Liberal	Libéral	F	Y	Y	0	Sherman		Mike	Progressive Conservative	Progressiste-Conservateur	M	N	N	0									0									0									0									0									0									0									0									0									0
3700	ED62-001	Nunavut	Nunavut	Nunavut	Nunavut	54	7719	14369	46	5	0	19	41	60	39672	1996	N	3917	50.7	54.1	Karetak-Lindell		Nancy	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	Sandy Kusugak	17	Bernard	1O	N	Y	N	N	N		N	N	N	0	0	0	0	Enuaraq	Susan	Palluq	N.D.P.	N.P.D.	F	N	N	0	Jones	Robert	Brian	Green Party	Parti Vert	M	N	N	0	Karetak-Lindell		Nancy	Liberal	Libéral	F	Y	Y	0	Sherman		Mike	Progressive Conservative	Progressiste-Conservateur	M	N	N	0									0									0									0									0									0									0									0									0									0
3700	ED62-001	Nunavut	Nunavut	Nunavut	Nunavut	54	7719	14369	46	5	0	19	41	60	39672	1996	N	3917	50.7	54.1	Karetak-Lindell		Nancy	Liberal	Libéral	Thirty-seventh general election 2000	Trente-septième élection générale 2000	Sandy Kusugak	18	Coppermine	1O	N	N	N	N	N		N	N	N	0	154	154	352	Enuaraq	Susan	Palluq	N.D.P.	N.P.D.	F	N	N	16	Jones	Robert	Brian	Green Party	Parti Vert	M	N	N	13	Karetak-Lindell		Nancy	Liberal	Libéral	F	Y	Y	113	Sherman		Mike	Progressive Conservative	Progressiste-Conservateur	M	N	N	12									0									0									0									0									0									0									0									0									0
